***************** properties *****************
"fieldlength"="100"
"fieldcount"="10"
"rocksdb.use_fsync"="false"
"rocksdb.max_bytes_for_level_multiplier"="10"
"rocksdb.db_write_buffer_size"="0"
"rocksdb.max_background_flushes"="2"
"rocksdb.allow_concurrent_memtable_writes"="true"
"operationcount"="10000000"
"threadcount"="4"
"rocksdb.pin_l0_filter_and_index_blocks_in_cache"="false"
"rocksdb.level0_file_num_compaction_trigger"="4"
"rocksdb.hard_pending_compaction_bytes_limit"="274877906944"
"insertproportion"="0"
"updateproportion"="0"
"rocksdb.dir"="../data"
"rocksdb.write_buffer_size"="134217728"
"readallfields"="true"
"readmodifywriteproportion"="0.5"
"rocksdb.use_direct_reads"="false"
"dotransactions"="true"
"rocksdb.level0_slowdown_writes_trigger"="20"
"rocksdb.block_size_deviation"="10"
"rocksdb.block_restart_interval"="16"
"rocksdb.cache_index_and_filter_blocks"="false"
"scanproportion"="0"
"rocksdb.whole_key_filtering"="true"
"rocksdb.memtable_huge_page_size"="0"
"rocksdb.max_total_wal_size"="0"
"recordcount"="3000000"
"rocksdb.no_block_cache"="false"
"rocksdb.block_size"="4096"
"rocksdb.max_bytes_for_level_base"="268435456"
"rocksdb.num_levels"="7"
"rocksdb.level0_stop_writes_trigger"="36"
"rocksdb.allow_mmap_reads"="false "
"maxscanlength"="10"
"requestdistribution"="uniform"
"workload"="core"
"rocksdb.arena_block_size"="0"
"readproportion"="0.5"
"rocksdb.allow_mmap_writes"="false"
**********************************************
READ_MODIFY_WRITE - Takes(s): 190.0, Count: 251798, OPS: 1325.3, Avg(us): 1543, Min(us): 18, Max(us): 684391, 99th(us): 40000, 99.9th(us): 130000, 99.99th(us): 439000
UPDATE - Takes(s): 190.0, Count: 251798, OPS: 1325.3, Avg(us): 38, Min(us): 9, Max(us): 123108, 99th(us): 1000, 99.9th(us): 1000, 99.99th(us): 4000
READ   - Takes(s): 200.0, Count: 517492, OPS: 2587.6, Avg(us): 1519, Min(us): 4, Max(us): 684339, 99th(us): 40000, 99.9th(us): 128000, 99.99th(us): 438000
READ_MODIFY_WRITE - Takes(s): 200.0, Count: 258892, OPS: 1294.5, Avg(us): 1578, Min(us): 18, Max(us): 684391, 99th(us): 40000, 99.9th(us): 129000, 99.99th(us): 439000
UPDATE - Takes(s): 200.0, Count: 258892, OPS: 1294.5, Avg(us): 39, Min(us): 9, Max(us): 123108, 99th(us): 1000, 99.9th(us): 1000, 99.99th(us): 4000
READ   - Takes(s): 210.0, Count: 531451, OPS: 2530.9, Avg(us): 1554, Min(us): 4, Max(us): 684339, 99th(us): 40000, 99.9th(us): 126000, 99.99th(us): 438000
READ_MODIFY_WRITE - Takes(s): 210.0, Count: 265805, OPS: 1265.8, Avg(us): 1610, Min(us): 18, Max(us): 684391, 99th(us): 41000, 99.9th(us): 128000, 99.99th(us): 438000
UPDATE - Takes(s): 210.0, Count: 265805, OPS: 1265.8, Avg(us): 39, Min(us): 9, Max(us): 123108, 99th(us): 1000, 99.9th(us): 1000, 99.99th(us): 4000
READ   - Takes(s): 220.0, Count: 546402, OPS: 2483.8, Avg(us): 1584, Min(us): 4, Max(us): 684339, 99th(us): 41000, 99.9th(us): 125000, 99.99th(us): 437000
READ_MODIFY_WRITE - Takes(s): 220.0, Count: 273201, OPS: 1241.9, Avg(us): 1637, Min(us): 18, Max(us): 684391, 99th(us): 41000, 99.9th(us): 127000, 99.99th(us): 426000
